Interval,Transfer,Bitrate,Retr,Cwnd
243.00,2.17,18.2,0,154.0
244.00,2.17,18.2,0,154.0
245.00,1.86,15.6,0,154.0
246.00,2.17,18.2,0,154.0
247.00,2.17,18.2,0,154.0
248.00,1.86,15.6,0,154.0
249.00,1.86,15.6,0,154.0
250.00,2.17,18.2,0,154.0
251.00,1.86,15.6,0,154.0
252.00,2.17,18.2,0,154.0
253.00,1.86,15.6,0,154.0
254.00,1.86,15.6,0,154.0
255.00,2.17,18.2,0,154.0
256.00,1.86,15.6,0,154.0
257.00,1.86,15.6,0,154.0
258.00,2.17,18.2,0,154.0
259.00,1.86,15.6,0,154.0
260.00,2.17,18.2,0,154.0
261.00,1.86,15.6,0,154.0
262.00,2.17,18.2,0,154.0
263.00,2.17,18.2,0,154.0
264.00,2.17,18.2,0,154.0
265.00,1.86,15.6,0,154.0
266.00,2.17,18.2,0,154.0
267.00,2.17,18.2,0,154.0
268.00,2.17,18.2,0,154.0
269.00,2.17,18.2,0,154.0
270.00,2.17,18.2,0,154.0
271.00,2.17,18.2,0,154.0
272.00,2.17,18.2,0,154.0
273.00,2.17,18.2,0,154.0
274.00,2.17,18.2,0,154.0
275.00,2.17,18.2,0,154.0
276.00,2.17,18.2,0,154.0
277.00,2.17,18.2,0,154.0
278.00,2.17,18.2,0,154.0
279.00,2.49,20.9,0,154.0
280.00,1.86,15.6,0,154.0
281.00,2.17,18.2,0,154.0
282.00,1.86,15.6,0,154.0
283.00,2.17,18.2,0,154.0
284.00,1.86,15.6,0,154.0
285.00,2.17,18.2,0,154.0
286.00,2.17,18.2,0,154.0
287.00,2.17,18.2,0,154.0
288.00,1.86,15.6,0,154.0
289.00,2.17,18.2,0,154.0
290.00,1.86,15.6,0,154.0
291.00,1.86,15.6,0,154.0
292.00,2.17,18.2,0,154.0
293.00,1.86,15.6,0,154.0
294.00,2.17,18.2,0,154.0
295.00,2.17,18.2,0,154.0
296.00,2.17,18.2,0,154.0
297.00,1.86,15.6,0,154.0
298.00,2.17,18.2,0,154.0
299.00,2.17,18.2,0,154.0
300.00,2.17,18.2,0,154.0
301.00,2.17,18.2,0,154.0
302.00,2.17,18.2,0,154.0
303.00,2.17,18.2,0,154.0
304.00,2.17,18.2,0,154.0
305.00,1.86,15.6,0,154.0
306.00,2.17,18.2,0,154.0
307.00,2.17,18.2,0,154.0
308.00,1.86,15.6,0,154.0
309.00,2.17,18.2,0,154.0
310.00,2.17,18.2,0,154.0
311.00,1.86,15.6,0,154.0
312.00,2.17,18.2,0,154.0
313.00,1.86,15.6,0,154.0
314.00,2.17,18.2,0,154.0
315.00,2.17,18.2,0,154.0
316.00,1.86,15.6,0,154.0
317.00,2.17,18.2,0,154.0
318.00,2.17,18.2,0,154.0
319.00,1.86,15.6,0,154.0
320.00,2.17,18.2,0,154.0
321.00,1.86,15.6,0,154.0
322.00,2.17,18.2,0,154.0
323.00,1.86,15.6,0,154.0
324.00,2.17,18.2,0,154.0
325.00,2.17,18.2,0,154.0
326.00,1.86,15.6,0,154.0
327.00,2.17,18.2,0,154.0
328.00,1.86,15.6,0,154.0
329.00,1.86,15.6,0,154.0
330.00,2.17,18.2,0,154.0
331.00,2.17,18.2,0,154.0
332.00,1.86,15.6,0,154.0
333.00,2.17,18.2,0,154.0
334.00,1.86,15.6,0,154.0
335.00,1.86,15.6,0,154.0
336.00,2.17,18.2,0,154.0
337.00,1.86,15.6,0,154.0
338.00,2.17,18.3,0,154.0
339.00,1.86,15.6,0,154.0
340.00,2.17,18.2,0,154.0
341.00,2.17,18.2,0,154.0
342.00,1.86,15.6,0,154.0
343.00,1.86,15.6,0,154.0
344.00,2.17,18.2,0,154.0
345.00,2.17,18.2,0,154.0
346.00,1.86,15.6,0,154.0
347.00,1.86,15.6,0,154.0
348.00,2.17,18.2,0,154.0
349.00,2.17,18.2,0,154.0
350.00,1.86,15.6,0,154.0
351.00,1.86,15.6,0,154.0
352.00,2.17,18.2,0,154.0
353.00,1.86,15.6,0,154.0
354.00,1.86,15.6,0,154.0
355.00,2.17,18.2,0,154.0
356.00,2.17,18.2,0,154.0
357.00,1.86,15.6,0,154.0
358.00,1.86,15.6,0,154.0
359.00,1.86,15.6,0,154.0
360.00,1.86,15.6,0,154.0
361.00,2.17,18.2,0,154.0
362.00,1.86,15.6,0,154.0
363.00,2.17,18.2,0,154.0
364.00,1.86,15.6,0,154.0
365.00,1.86,15.6,0,154.0
366.00,2.17,18.2,0,154.0
367.00,1.86,15.6,0,154.0
368.00,2.17,18.2,0,154.0
369.00,2.17,18.2,0,154.0
370.00,1.86,15.6,0,154.0
371.00,2.17,18.2,0,154.0
372.00,1.86,15.6,0,154.0
373.00,2.17,18.2,0,154.0
374.00,2.17,18.2,0,154.0
375.00,2.17,18.2,0,154.0
376.00,1.86,15.6,0,154.0
377.00,2.17,18.2,0,154.0
378.00,1.86,15.6,0,154.0
379.00,2.17,18.2,0,154.0
380.00,1.86,15.6,0,154.0
381.00,2.17,18.2,0,154.0
382.00,2.17,18.2,0,154.0
383.00,2.17,18.2,0,154.0
384.00,1.86,15.6,0,154.0
385.00,1.86,15.6,0,154.0
386.00,2.17,18.2,0,154.0
387.00,1.86,15.6,0,154.0
388.00,1.86,15.6,0,154.0
389.00,2.17,18.2,0,154.0
390.00,2.17,18.2,0,154.0
391.00,1.86,15.6,0,154.0
392.00,2.17,18.2,0,154.0
393.00,1.86,15.6,0,154.0
394.00,2.17,18.2,0,154.0
395.00,1.86,15.6,0,154.0
396.00,2.17,18.2,0,154.0
397.00,1.86,15.6,0,154.0
398.00,2.17,18.2,0,154.0
399.00,1.86,15.6,0,154.0
400.00,1.86,15.6,0,154.0
401.00,2.17,18.2,0,154.0
402.00,1.86,15.6,0,154.0
403.00,1.86,15.6,0,154.0
404.00,2.17,18.2,0,154.0
405.00,1.86,15.6,0,154.0
406.00,2.17,18.2,0,154.0
407.00,1.86,15.6,0,154.0
408.00,2.17,18.2,0,154.0
409.00,1.86,15.6,0,154.0
410.00,2.17,18.2,0,154.0
411.00,1.86,15.6,0,154.0
412.00,2.17,18.2,0,154.0
413.00,1.86,15.6,0,154.0
414.00,2.17,18.2,0,154.0
415.00,1.86,15.6,0,154.0
416.00,2.17,18.2,0,154.0
417.00,2.17,18.2,0,154.0
418.00,1.86,15.6,0,154.0
419.00,1.86,15.6,0,154.0
420.00,2.17,18.2,0,154.0
421.00,1.86,15.6,0,154.0
422.00,1.86,15.6,0,154.0
423.00,2.17,18.2,0,154.0
424.00,1.86,15.6,0,154.0
425.00,2.17,18.2,0,154.0
426.00,1.86,15.6,0,154.0
427.00,2.17,18.2,0,154.0
428.00,1.86,15.6,0,154.0
429.00,1.86,15.6,0,154.0
430.00,1.86,15.6,0,154.0
431.00,2.17,18.2,0,154.0
432.00,1.86,15.6,0,154.0
433.00,2.17,18.2,0,154.0
434.00,2.17,18.2,0,154.0
435.00,1.86,15.6,0,154.0
436.00,1.86,15.6,0,154.0
